text,sentiment
  scottwalker didnt catch the full gopdebate last night here are some of scotts best lines in 90 seconds walker16 httptcozsff,Positive
  robgeorge that carly fiorina is trending  hours after her debate  above any of the men in justcompleted gopdebate says shes on ,Positive
  danscavino gopdebate w realdonaldtrump delivered the highest ratings in the history of presidential debates trump2016 httptco,Positive
  gregabbott_tx tedcruz on my first day i will rescind every illegal executive action taken by barack obama gopdebate foxnews,Positive
  warriorwoman91 i liked her and was happy when i heard she was going to be the moderator not anymore gopdebate megynkelly  https,Negative
deer in the headlights   lizzwinstead ben carson may be the only brain surgeon who has performed a lobotomy on himself gopdebate,Negative
  nancyosborne180 last nights debate proved it gopdebate batsask badassteachersa tbats  httpstcog2ggjy1bjd,Negative
jgreendc realdonaldtrump in all fairness billclinton owns that phrasegopdebate,Negative
"  waynedupreeshow just woke up to tweet this out gopdebate 

best line of the night via govmikehuckabee httptco6ov5hxhicv",Positive
me reading my familys comments about how great the gopdebate was httptcogiagjpygxz,Negative
  pattonoswalt i loved scott walker as mark harmons romantic rival in summer school look it up gopdebate,Positive
hey chrischristie exploiting the tragedy of 911 for your own political gain is rudygiulianigops thing gopdebate,Negative
  carolcnn donaldtrump under fire for comments about women peterbeina  sl_schaeffer iwf myrkiger weigh in on gopdebate httpt,Negative
  johncardillo guess who had most speaking time at the gopdebate foxnews moderators with 317 of time httptco2wsut0c0lx,Negative
reason comment is funny in case youre ignorant is the gop tcot are the reason the government isnt working for the people gopdebate,Negative
  pamelageller huckabee paying for transgender surgery for soldiers sailors and airmen does not make our country safer ha gopdebate,Negative
  chucknellis cruz has class amp truth that gets my vote gopdebate,Positive
  mchamric   teatraitors gopdebate was still clown show im glad head clown trump helping destroy gop httptconwgx8g8jwr,Negative
  erinmallorylong no i hate planned parenthood and women more no i hate planned parenthood and women more gopdebate,Negative
  mrpooni fox news trying to convince us young black americans are more worried about isis than police terrorism gopdebate httptco,Negative
gopdebate rankings worst to be performance  rubio kasich christie bush trump cruz walker paul huckabee carson,Negative
  thebaxterbean scott walkers abo ion ban allows rapist father to sue for emotional distress httptcorhmvgumuir gopdebate badger,Negative
  feministabulous its not a competition but how have we moved so far on gay rights but womens rights is worse than its ever been g,Negative
  mch7576   teatraitors gopdebate was still clown show im glad head clown trump helping destroy gop httptcopry2qpcwfu,Negative
  hillaryclinton watch the gopdebate bet you feel like donating to a democrat right about now httptcopglqcqqgop httptcoqp1e,Negative
fbhw theyre going to need to borrow the train horn for the next gopdebate  the little bell was wimpy hornmeansyouredone,Negative
  lisavikingstad ted cruz at the gopdebate will be like ted cruz in bed he will keep a confusingly sad look on his face and refuse to ,Negative
  winesdaypodcast  an update on foxnews tech failures for the gopdebate httptcofgglf2j5hu httptcozw35dkuozi,Negative
  amymek the torched has been passed gtcandycrowley is no longer the most famous political assassin congratulations megynkelly u wi,Negative
"  stockwizards3 trumpcarson ticket would win in a landslide
realdonaldtrump seanhannity anncoulter republican potus trump2016 ",Negative
  kvxrdashian jeb bush obama is at fault not my brother because obama didnt clean up the mess my brother made gopdebate httpt,Negative
